0,1,2,3,4,5,6,7
2020-10-21T13:16:18.896956+00:00,app[web.1]:,AB_TESTING:,B,1603286177391,1603286178761,mp4,yzvir
2020-10-21T13:16:19.176438+00:00,app[web.1]:,AB_TESTING:,B,1603286177391,1603286179042,mp4,yzvir
2020-10-21T13:16:19.450882+00:00,app[web.1]:,AB_TESTING:,B,1603286177391,1603286179321,mp4,yzvir
2020-10-21T13:16:19.726251+00:00,app[web.1]:,AB_TESTING:,B,1603286177391,1603286179596,mp4,yzvir
2020-10-21T13:16:20.003223+00:00,app[web.1]:,AB_TESTING:,B,1603286177391,1603286179871,mp4,yzvir
2020-10-21T13:16:20.281306+00:00,app[web.1]:,AB_TESTING:,B,1603286177391,1603286180147,mp4,yzvir
2020-10-21T13:16:20.555606+00:00,app[web.1]:,AB_TESTING:,B,1603286177391,1603286180426,mp4,yzvir
2020-10-21T13:16:22.273807+00:00,app[web.1]:,AB_TESTING:,C,1603286182140,0,0,yzvir
2020-10-21T13:16:23.825394+00:00,app[web.1]:,AB_TESTING:,B,1603286183685,0,0,yzvir
2020-10-23T11:18:29.692333+00:00,app[web.1]:,AB_TESTING:,B,1603451909326,0,0,yzvir
2020-10-23T11:34:01.645127+00:00,app[web.1]:,AB_TESTING:,A,1603452841587,0,0,ylgrzolu
2020-10-23T11:34:01.850810+00:00,app[web.1]:,AB_TESTING:,B,1603452841723,0,0,yzvir
2020-10-23T11:34:11.930969+00:00,app[web.1]:,AB_TESTING:,A,1603452841587,1603452851865,mp4,ylgrzolu
2020-10-23T11:34:16.514799+00:00,app[web.1]:,AB_TESTING:,A,1603452841587,1603452856449,mp1,ylgrzolu
2020-10-23T11:34:16.821993+00:00,app[web.1]:,AB_TESTING:,A,1603452841587,1603452856765,mp1,ylgrzolu
2020-10-23T11:34:17.216640+00:00,app[web.1]:,AB_TESTING:,A,1603452841587,1603452857148,mp1,ylgrzolu
2020-10-23T11:34:17.572332+00:00,app[web.1]:,AB_TESTING:,A,1603452841587,1603452857512,mp1,ylgrzolu
2020-10-23T11:34:18.048324+00:00,app[web.1]:,AB_TESTING:,A,1603452841587,1603452857979,mp1,ylgrzolu
2020-10-23T11:34:20.014090+00:00,app[web.1]:,AB_TESTING:,A,1603452841587,1603452859943,mp2,ylgrzolu
2020-10-23T11:34:20.367298+00:00,app[web.1]:,AB_TESTING:,A,1603452841587,1603452860302,mp2,ylgrzolu
2020-10-23T11:34:22.163695+00:00,app[web.1]:,AB_TESTING:,A,1603452841587,1603452862102,mp3,ylgrzolu
2020-10-23T11:34:22.358207+00:00,app[web.1]:,AB_TESTING:,A,1603452841587,1603452862303,mp3,ylgrzolu
2020-10-23T11:34:22.546607+00:00,app[web.1]:,AB_TESTING:,A,1603452841587,1603452862487,mp3,ylgrzolu
2020-10-23T11:34:26.176745+00:00,app[web.1]:,AB_TESTING:,A,1603452841587,1603452866110,mp1,ylgrzolu
2020-10-23T11:34:26.809261+00:00,app[web.1]:,AB_TESTING:,A,1603452841587,1603452866724,mp1,ylgrzolu
2020-10-23T11:34:30.683785+00:00,app[web.1]:,AB_TESTING:,A,1603452841587,1603452870593,mp4,ylgrzolu
2020-10-23T11:34:32.276020+00:00,app[web.1]:,AB_TESTING:,C,1603452872222,0,0,ylgrzolu
2020-10-23T11:34:35.657311+00:00,app[web.1]:,AB_TESTING:,A,1603452875603,0,0,ylgrzolu
2020-10-23T11:34:42.823309+00:00,app[web.1]:,AB_TESTING:,C,1603452882769,0,0,ylgrzolu
2020-10-23T11:34:48.046854+00:00,app[web.1]:,AB_TESTING:,A,1603452887992,0,0,ylgrzolu
2020-10-23T11:35:29.749818+00:00,app[web.1]:,AB_TESTING:,A,1603452929678,0,0,cherxxu
2020-10-23T11:35:30.949544+00:00,app[web.1]:,AB_TESTING:,A,1603452929678,1603452930864,mp1,cherxxu
2020-10-23T11:35:31.103057+00:00,app[web.1]:,AB_TESTING:,A,1603452929678,1603452931035,mp1,cherxxu
2020-10-23T11:35:31.283711+00:00,app[web.1]:,AB_TESTING:,A,1603452929678,1603452931212,mp1,cherxxu
2020-10-23T11:35:31.465382+00:00,app[web.1]:,AB_TESTING:,A,1603452929678,1603452931393,mp1,cherxxu
2020-10-23T11:35:31.649269+00:00,app[web.1]:,AB_TESTING:,A,1603452929678,1603452931568,mp1,cherxxu
2020-10-23T11:35:31.834935+00:00,app[web.1]:,AB_TESTING:,A,1603452929678,1603452931767,mp1,cherxxu
2020-10-23T11:35:32.901328+00:00,app[web.1]:,AB_TESTING:,A,1603452929678,1603452932825,mp2,cherxxu
2020-10-23T11:35:33.084400+00:00,app[web.1]:,AB_TESTING:,A,1603452929678,1603452933015,mp2,cherxxu
2020-10-23T11:35:33.281071+00:00,app[web.1]:,AB_TESTING:,A,1603452929678,1603452933214,mp2,cherxxu
2020-10-23T11:35:36.038670+00:00,app[web.1]:,AB_TESTING:,A,1603452929678,1603452935965,mp4,cherxxu
2020-10-23T11:35:36.239676+00:00,app[web.1]:,AB_TESTING:,A,1603452929678,1603452936172,mp4,cherxxu
2020-10-23T11:35:37.519012+00:00,app[web.1]:,AB_TESTING:,A,1603452929678,1603452937445,mp3,cherxxu
2020-10-23T11:35:37.875371+00:00,app[web.1]:,AB_TESTING:,A,1603452929678,1603452937802,mp3,cherxxu
2020-10-23T11:35:41.771052+00:00,app[web.1]:,AB_TESTING:,C,1603452941705,0,0,cherxxu
2020-10-23T11:35:45.743019+00:00,app[web.1]:,AB_TESTING:,A,1603452945677,0,0,cherxxu
2020-10-23T11:35:48.900894+00:00,app[web.1]:,AB_TESTING:,C,1603452948835,0,0,cherxxu
2020-10-23T11:38:49.156598+00:00,app[web.1]:,AB_TESTING:,A,1603453127827,0,0,xkluyhg
2020-10-23T11:39:03.811163+00:00,app[web.1]:,AB_TESTING:,A,1603453127827,1603453142739,mp4,xkluyhg
2020-10-23T11:39:04.880980+00:00,app[web.1]:,AB_TESTING:,A,1603453127827,1603453143789,mp4,xkluyhg
2020-10-23T11:39:05.762009+00:00,app[web.1]:,AB_TESTING:,A,1603453127827,1603453144669,mp4,xkluyhg
2020-10-23T11:39:26.175630+00:00,app[web.1]:,AB_TESTING:,A,1603453127827,1603453165100,mp2,xkluyhg
2020-10-23T11:39:27.129091+00:00,app[web.1]:,AB_TESTING:,A,1603453127827,1603453166056,mp2,xkluyhg
2020-10-23T11:39:27.643669+00:00,app[web.1]:,AB_TESTING:,A,1603453127827,1603453166568,mp2,xkluyhg
2020-10-23T11:39:29.244735+00:00,app[web.1]:,AB_TESTING:,A,1603453127827,1603453168160,mp1,xkluyhg
2020-10-23T11:39:32.155165+00:00,app[web.1]:,AB_TESTING:,C,1603453171074,0,0,xkluyhg
2020-10-23T11:39:36.726551+00:00,app[web.1]:,AB_TESTING:,A,1603453175648,0,0,xkluyhg
2020-10-23T11:43:23.453966+00:00,app[web.1]:,AB_TESTING:,A,1603453403297,0,0,gqmfeqgk
2020-10-23T11:44:35.918128+00:00,app[web.1]:,AB_TESTING:,A,1603453474293,0,0,xkluyhg
2020-10-23T11:46:13.641519+00:00,app[web.1]:,AB_TESTING:,A,1603453572203,0,0,nmtdqfll
2020-10-23T11:55:21.914936+00:00,app[web.1]:,AB_TESTING:,A,1603454120164,0,0,eqppxr
2020-10-23T11:55:23.430710+00:00,app[web.1]:,AB_TESTING:,A,1603454120164,1603454121906,mp1,eqppxr
2020-10-23T11:55:24.152254+00:00,app[web.1]:,AB_TESTING:,A,1603454120164,1603454122630,mp2,eqppxr
